Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,63.810001,66.050003,63.700001,65.489998,64.761459,2823805
2022-02-23,66.099998,66.699997,61.720001,62.660000,61.962944,2480900
2022-02-24,62.000000,62.779999,59.259998,62.360001,61.666283,3782037
2022-02-25,62.500000,64.820000,61.700001,64.349998,63.634140,1641310
2022-02-28,63.580002,65.050003,62.570000,63.070000,62.368382,4687520
2022-03-01,63.189999,64.139999,60.299999,62.330002,61.636616,4579432
2022-03-02,62.529999,63.709999,61.700001,61.900002,61.211399,3233303
2022-03-03,61.959999,62.610001,58.810001,59.209999,58.551323,4968108
2022-03-04,59.189999,59.400002,57.200001,57.439999,56.801010,4361629
2022-03-07,57.220001,57.320000,52.959999,53.200001,52.608181,5164699
2022-03-08,53.389999,54.590000,51.779999,54.209999,53.606945,5506010
2022-03-09,54.770000,57.000000,54.209999,56.459999,55.831913,3189589
2022-03-10,56.490002,58.209999,55.009998,57.099998,56.464794,4023856
2022-03-11,57.360001,58.000000,55.400002,56.650002,56.019802,3026163
2022-03-14,56.750000,56.750000,54.520000,55.200001,54.585934,4290774
2022-03-15,55.200001,57.900002,53.810001,56.270000,55.644028,4891881
2022-03-16,56.689999,60.400002,56.689999,58.889999,58.234882,3483069
2022-03-17,58.700001,59.700001,57.660000,58.720001,58.066776,2674079
2022-03-18,58.400002,59.500000,57.410000,57.980000,57.335007,13969494
2022-03-22,58.160000,59.580002,55.759998,59.290001,58.630432,2725879
2022-03-23,58.880001,59.150002,57.000000,57.490002,56.850456,2162020
2022-03-24,58.139999,58.299999,56.750000,57.730000,57.087788,1924670
2022-03-25,57.810001,58.750000,56.820000,58.279999,57.631668,2882804
2022-03-28,58.279999,59.490002,57.779999,59.220001,58.561211,1278691
2022-03-29,59.099998,61.500000,58.570000,60.599998,59.925858,3987521
2022-03-30,60.490002,60.529999,58.509998,60.119999,59.451199,4220566
2022-03-31,60.040001,60.970001,59.410000,60.060001,59.391869,2598377
2022-04-01,59.799999,63.400002,59.799999,62.980000,62.279385,3414860
2022-04-04,63.000000,66.000000,62.549999,64.320000,63.604477,2519875
2022-04-05,64.150002,64.410004,62.230000,62.500000,61.804722,3161738
2022-04-06,62.220001,62.220001,59.009998,59.509998,58.847984,3853808
2022-04-07,59.700001,60.619999,59.090000,59.500000,58.838097,3359792
2022-04-08,59.599998,59.599998,57.669998,59.220001,58.561211,2063813
2022-04-11,59.009998,59.009998,57.529999,58.410000,57.760223,1980836
2022-04-12,58.860001,59.150002,56.009998,56.650002,56.019802,7724613
2022-04-13,56.910000,58.169998,56.240002,57.779999,57.137230,1272630
2022-04-18,57.779999,58.259998,57.150002,57.779999,57.137230,866470
2022-04-19,57.849998,59.889999,57.639999,59.610001,58.946873,2674537
2022-04-20,59.779999,59.779999,57.410000,57.610001,56.969124,1894009
2022-04-21,58.130001,58.130001,55.410000,55.840000,55.218811,2428975
2022-04-22,56.110001,56.860001,55.810001,55.990002,55.367146,2026532
2022-04-25,56.040001,57.380001,55.270000,56.139999,55.515472,3586415
2022-04-26,56.160000,57.240002,54.509998,56.189999,55.564919,2814352
2022-04-27,56.689999,62.529999,55.680000,61.490002,60.805962,6809160
2022-04-28,62.150002,63.290001,60.180000,62.610001,61.913502,7902255
2022-04-29,62.189999,63.509998,61.720001,62.900002,62.200275,3572648
2022-05-02,62.980000,67.400002,62.029999,67.089996,66.343658,3446660
2022-05-03,66.989998,66.989998,60.660000,62.049999,61.359730,5374881
2022-05-04,62.599998,62.599998,58.360001,59.290001,58.630432,4805044
2022-05-05,58.959999,61.279999,57.509998,60.709999,60.034634,3955131
2022-05-06,59.709999,63.230000,59.709999,61.259998,60.578514,2167765
2022-05-09,61.040001,63.900002,60.200001,60.330002,59.658863,2593838
2022-05-10,60.810001,61.180000,59.560001,60.270000,59.599529,5248607
2022-05-11,60.290001,60.770000,57.820000,58.130001,57.483337,3841509
2022-05-12,57.889999,59.650002,56.990002,59.369999,58.709541,2350913
2022-05-13,60.000000,61.009998,55.799999,57.910000,57.265785,11002813
2022-05-16,57.860001,59.349998,56.610001,58.430000,57.779999,5606533
2022-05-17,58.509998,59.470001,57.270000,58.970001,58.970001,5247448
2022-05-18,58.599998,58.700001,56.919998,57.169998,57.169998,3808019
2022-05-19,57.070000,57.560001,56.299999,56.459999,56.459999,3147180
2022-05-20,56.900002,58.439999,56.610001,57.770000,57.770000,3656684
2022-05-23,58.040001,59.990002,57.070000,58.520000,58.520000,3291772
2022-05-24,58.009998,59.299999,57.020000,58.099998,58.099998,5650493
2022-05-25,58.099998,60.099998,57.610001,59.540001,59.540001,3161624
2022-05-26,59.110001,61.400002,58.599998,60.779999,60.779999,1802997
